name,desc,category,tags,tissue,assay,disease,organism,count,insight_link,cellxgene_link,vitessce_link,h5ad_object_link,scvi_model_link,celltypist_model_link,csv_cell_annotations_link,hires_image_link,download,mp4,thumb,size
Yolk sac 10x scRNA-seq data,"A scRNA-seq dataset containing our yolk sac scRNA-seq data (10x;  n=10 , k=169,798; 4-8 post-conception weeks).
Yolk sac 10x scRNA-seq data - E-MTAB-10552. Annotations also available in supplementary tables. ",scRNA-seq,,Yolk Sac,"10x 3',10x 5'",,Homo sapiens,169798,https://app.cellatlas.io/yolk-sac/dataset/18/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/18/download,https://storage.googleapis.com/haniffa/data/yolk-sac/scvi_models/A2_V9_YS_model.pt,,,,,,,
Integrated multi-organ progenitors 10x scRNA-seq data,"A scRNA-seq dataset containing HSPCs/HSCs across multiple tissues datasets including Yolksac, AGM, Liver, Bone marrow, Skin, Definitive iPSC-HSPCs and iPSC-HSPCs, n=29, k=5008. Annotations also available in supplementary tables.",scRNA-seq,,"Yolk Sac,  AGM, Liver, Bone marrow, Skin, iPSC-HSPCs(Definitive), iPSC_derived-HSPCs","10x 3',10x 5'",,Homo sapiens,5008,https://app.cellatlas.io/yolk-sac/dataset/10/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/10/download,https://storage.googleapis.com/haniffa/data/yolk-sac/scvi_models/multi_organ_HSPC_model.pt,,,,,,,
Yolk sac pre-AGM Myeloid lineage 10x scRNA-seq data,"A scRNA-seq dataset containing our yolk sac scRNA-seq data subset to Myeloid lineages arising prior to Carnegie Stage 14 (10x; n=2, k=3389; 3-4 post-conception weeks)  - E-MTAB-10552. Annotations also available in supplementary tables.",scRNA-seq,,Yolk Sac,"10x 3',10x 5'",,Homo sapiens,3389,https://app.cellatlas.io/yolk-sac/dataset/12/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/12/download,,,,,,,,
Yolk sac post-AGM Myeloid lineage 10x scRNA-seq data,"A scRNA-seq dataset containing our yolk sac scRNA-seq data subset to Myeloid lineages arising post Carnegie Stage 14 (10x; n=6, k=6291; 5-8 post-conception weeks)  - E-MTAB-10552. Annotations also available in supplementary tables.",scRNA-seq,,Yolk Sac,"10x 3',10x 5'",,Homo sapiens,6291,https://app.cellatlas.io/yolk-sac/dataset/11/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/11/download,,,,,,,,
Yolk sac HSPC trajectory 10x scRNA-seq data,"A scRNA-seq dataset containing our yolk sac scRNA-seq data subset to the trajectory transition between Hemogenic endothelium and HSPC cellstates (10X; n=3, k=2262; 4-6 post-conception weeks) - E-MTAB-10552.  Annotations also available in supplementary tables.",scRNA-seq,,Yolk Sac,"10x 3',10x 5'",,Homo sapiens,2262,https://app.cellatlas.io/yolk-sac/dataset/5/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/5/download,,,,,,,,
Embryonic Liver 10x scRNA-seq data,"A scRNA-seq dataset containing our embryonic Liver scRNA-seq data with matched donors to the Yolksac dataset (10x;  n=3, k=49376; 4-8 post-conception weeks).
Yolk sac 10x scRNA-seq data - E-MTAB-10552. Annotations also available in supplementary tables. Embryonic Liver scRNA-seq (10x) dataset, n=3, k=49376. Annotations also available in supplementary tables.",scRNA-seq,,Embryonic Liver,10x 5',,Homo sapiens,49376,https://app.cellatlas.io/yolk-sac/dataset/2/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/2/download,,,,,,,,
Yolk sac and embryonic liver 10x scRNA-seq data combined,"A scRNA-seq dataset containing combined data for our yolk sac scRNA-seq data (10x; n=8, k=134,765; 5-8 post-conception weeks)  - E-MTAB-10552. Annotations also available in supplementary tables.",scRNA-seq,,"Yolk Sac,Embryonic Liver","10x 3',10x 5'",,Homo sapiens,134765,https://app.cellatlas.io/yolk-sac/dataset/1/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/1/download,https://storage.googleapis.com/haniffa/data/yolk-sac/scvi_models/YS_EL_mode.pt,,,,,,,
Mouse gastrulation data (10x) - haematopoietic lineages only,"A scRNA-seq dataset containing Mouse gastrulation scRNA-seq data subset to Haematopoietic lineage (10x; n=28, k=4717; E6-E9.5). Annotations also available in supplementary tables.",scRNA-seq,,Mouse Yolk Sac,10x 5',,Mus musculus,4717,https://app.cellatlas.io/yolk-sac/dataset/9/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/9/download,,,,,,,,
iPSC data (Definitive) - AEC-HSPC trajectory 10x scRNA-seq data,"A scRNA-seq dataset containing data from the iPSC culture system from the Mikola lab subset to the Myeloid lineage trajectory(10x; n=5, k=552; https://doi.org/10.1101/2021.11.17.469005). Annotations also available in supplementary tables.",scRNA-seq,,iPSC (Definitive),10x 3',,Homo sapiens_iPSC,552,https://app.cellatlas.io/yolk-sac/dataset/14/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/14/download,https://storage.googleapis.com/haniffa/data/yolk-sac/scvi_models/IPSC_HM_model.pt,,,,,,,
iPSC data (Primitive) - AEC-HSPC trajectory 10x scRNA-seq data,"A scRNA-seq dataset containing data from the iPSC culture system from the Vento lab subset to the transition trajectory between AEC and HSPCs (10x; n=6, k=368; https://doi.org/10.1038/s41586-022-04571-x). Annotations also available in supplementary tables.",scRNA-seq,,iPSC,10x 5',,Homo sapiens_iPSC,368,https://app.cellatlas.io/yolk-sac/dataset/13/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/13/download,https://storage.googleapis.com/haniffa/data/yolk-sac/scvi_models/IPSC_CLARA_model.pt,,,,,,,
iPSC data - myeloid monocyte independent trajectory 10x scRNA-seq data,"A scRNA-seq dataset containing data from the iPSC culture system from the Vento lab subset to the transition trajectory between AEC and HSPCs (10x; n=5, k=552; https://doi.org/10.1101/2021.11.17.469005). Annotations also available in supplementary tables.",scRNA-seq,,iPSC,10x 5',,Homo sapiens_iPSC,552,https://app.cellatlas.io/yolk-sac/dataset/16/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/16/download,,,,,,,,
iPSC data - myeloid monocyte dependent trajectory 10x scRNA-seq data,"A scRNA-seq dataset containing data from the iPSC culture system from the Vento lab subset to the transition trajectory between AEC and HSPCs (10x; n=7, k=7676; https://doi.org/10.1101/2021.11.17.469005). Annotations also available in supplementary tables.",scRNA-seq,,iPSC,10x 5',,Homo sapiens_iPSC,7676,https://app.cellatlas.io/yolk-sac/dataset/15/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/15/download,,,,,,,,
Yolk sac CITE-seq data (protein and RNA combined),"A CITE-seq dataset containing protein and RNA data hstacked for our yolk sac CITE-seq data (n=2, k=3,559, Carnegie stage 16-19). One half of the data has undergone CD34+ enrichment, and the other half has undergone CD34- enrichment via FACS. Yolk sac CITE-seq data - E-MTAB-11549",CITE-seq,,Yolk Sac,CITE-seq,,Homo sapiens,3559,https://app.cellatlas.io/yolk-sac/dataset/8/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/8/download,,,,,,,,
